score_v221,max_score,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,smc_signal,close,date,fwd_5d,fwd_10d,fwd_20d
3,11,0,0,3,0,[],2.5,阶段2.5-得分触底未共振,32.3353993722453,62.67317593297801,60.77714921270974,0,131.52,2026-01-09,-0.005246350364963459,-0.016119221411192264,-0.11838503649635046
2,11,0,0,2,0,[],2.5,阶段2.5-得分触底未共振,36.54380789772489,57.407801170410494,42.38634277904246,0,130.83,2026-01-16,-0.010930214782542302,-0.07360697087823898,-0.11472903768248888
2,11,0,0,2,0,[],2.5,阶段2.5-得分触底未共振,37.827593411694394,53.28659124967803,28.385436519223223,0,129.4,2026-01-23,-0.06336939721792889,-0.1039412673879444,-0.08091190108191648
2,11,1,0,0,0,[],2.5,阶段2.5-得分触底未共振,28.713326998901092,38.88546415259096,-25.66691095753618,0,121.2,2026-01-30,-0.043316831683168355,-0.044389438943894466,-0.07425742574257421
2,11,1,0,0,0,[],2.5,阶段2.5-得分触底未共振,25.276748398864992,32.65538794742764,-53.043353375505504,0,115.95,2026-02-06,-0.001121172919361868,0.02570073307460108,-0.048727899956877985
2,11,1,0,0,0,[],2.5,阶段2.5-得分触底未共振,21.8206136534614,34.34437435585659,-48.603556210441035,0,115.82,2026-02-13,0.02685201174235896,-0.031255396304610494,-0.14850630288378508
4,11,1,0,2,0,[],2.5,阶段2.5-得分触底未共振,20.560203717229413,53.90826346210412,-23.586591958675868,0,123.0,2026-02-27,-0.06463414634146347,-0.09162601626016253,-0.17869918699186993
2,11,1,0,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.131211682096314,39.84529303382905,-36.98822295125198,0,115.05,2026-03-06,-0.028857018687527103,-0.09995654063450676,-0.21642764015645366
2,11,1,0,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,19.798223620514985,36.315830640309095,-46.828731945126556,0,111.73,2026-03-13,-0.07321220800143213,-0.09585608162534687,-0.15125749574867986
-4,11,0,2,0,1,['momentum_reversal'],2.5,阶段2.5-得分触底未共振,27.581777190428195,24.854229049908824,-64.47925721575315,0,103.55,2026-03-20,-0.02443264123611788,-0.12940608401738285,-0.09435055528730074
-2,11,0,1,0,0,[],2.5,阶段2.5-得分触底未共振,36.07711119126911,31.287034387801512,-68.58899289195296,0,101.02,2026-03-27,-0.1076024549594139,-0.06127499505048506,0.035735497921203674
-4,11,0,2,0,1,['momentum_reversal'],2.5,阶段2.5-得分触底未共振,44.36364943648026,22.382773978393743,-71.92240532758454,0,90.15,2026-04-03,0.05191347753743747,0.040266222961730325,0.11214642262895169
-3,11,0,2,1,0,[],2.5,阶段2.5-得分触底未共振,44.53678508157097,36.86877770429584,-58.82910849730008,0,95.35,2026-04-10,-0.02422653382275819,-0.002412165705296121,0.08557944415312013
0,11,0,0,0,0,[],2.5,阶段2.5-得分触底未共振,40.9608033114897,35.35459870272325,-49.682806535412325,0,93.04,2026-04-17,0.022355975924333693,0.0844797936371453,0.0887790197764402
4,11,1,0,2,0,[],2.5,阶段2.5-得分触底未共振,36.65553118559388,43.87637063886565,-37.755886451647754,0,95.12,2026-04-24,0.06076534903280062,0.08820437342304466,0.10344827586206895
3,11,1,0,1,0,[],2.5,阶段2.5-得分触底未共振,28.239151444152434,50.170450073822444,14.7011582845795,0,99.18,2026-05-08,0.022282718289977854,0.051119177253478476,-0.03821334946561816
5,11,1,0,3,0,[],2.0,动能衰减期,25.80811433904154,52.813519648914514,28.919435267748757,0,101.39,2026-05-15,0.028207910050300766,-0.06302396686063716,-0.15169148831245682
6,11,1,0,4,0,[],2.0,动能衰减期,21.89083845082986,57.366604947196514,34.80287836269409,0,104.25,2026-05-22,-0.08872901678657075,-0.08498800959232611,-0.13131894484412465
1,11,0,0,1,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,21.981145378156295,40.047959985417066,28.446228921635324,0,95.0,2026-05-29,0.004105263157894834,-0.0946315789473684,-0.07052631578947366
-2,11,0,1,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.66352342326671,43.91174955632319,-6.316951783823632,0,95.39,2026-06-05,-0.09833315861201375,-0.05063423838976833,0.016878079463256146
-4,11,0,2,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,17.659037214728063,35.389640821161436,-39.423277230000984,0,86.01,2026-06-12,0.05290082548540864,0.02662481106848036,0.19160562725264496
-2,11,0,1,0,2,"['trend_break', 'volume_divergence']",2.5,阶段2.5-得分触底未共振,15.663286397052923,39.487974241558945,-32.321131411411024,0,86.72,2026-06-26,0.1796586715867159,0.1901522140221401,0.11738929889298899
4,11,1,0,2,0,[],2.5,阶段2.5-得分触底未共振,17.291069424647024,62.46123324074243,12.59204718280404,0,102.3,2026-07-03,0.008895405669599121,0.017790811339198465,-0.13294232649071358
5,11,1,0,3,0,[],2.0,动能衰减期,19.73500975741234,58.71210826075455,36.49298787792228,0,103.21,2026-07-10,0.008816975099312119,-0.0611374866776474,-0.1303168297645576
6,11,1,0,4,1,['volume_divergence'],2.0,动能衰减期,20.72417422963865,55.47238307499864,47.458117430303105,0,104.12,2026-07-17,-0.06934306569343063,-0.14809834805993083,
4,11,1,0,2,1,['trend_break'],2.5,阶段2.5-得分触底未共振,15.777946887717485,46.06286553500999,11.15430423920038,0,96.9,2026-07-24,-0.08462332301341591,-0.0736842105263158,
-2,11,0,1,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,17.80003987565547,36.76833384987028,-26.214092817132293,0,88.7,2026-07-31,0.011950394588500668,,
